date,gspc,oil
2015-06-19,2109.98999,59.41
2015-06-20,2109.98999,59.41
2015-06-21,2109.98999,59.41
2015-06-22,2122.850098,60.54
2015-06-23,2124.199951,61.67
2015-06-24,2108.580078,61.63
2015-06-25,2102.310059,60.24
2015-06-26,2101.48999,60.14
2015-06-27,2101.48999,60.14
2015-06-28,2101.48999,60.14
2015-06-29,2057.639893,59.03
2015-06-30,2063.110107,60.31
2015-07-01,2077.419922,61.65
2015-07-02,2076.780029,61.73
2015-07-03,2076.780029,59.06
2015-07-04,2076.780029,59.06
2015-07-05,2076.780029,59.06
2015-07-06,2068.76001,57.19
2015-07-07,2081.340088,54.72
2015-07-08,2046.680054,55.7
2015-07-09,2051.310059,57.83
2015-07-10,2076.620117,57.72
2015-07-11,2076.620117,57.72
2015-07-12,2076.620117,57.72
2015-07-13,2099.600098,57.63
2015-07-14,2108.949951,57.2
2015-07-15,2107.399902,57.34
2015-07-16,2124.290039,57.31
2015-07-17,2126.639893,56.38
2015-07-18,2126.639893,56.38
2015-07-19,2126.639893,56.38
2015-07-20,2128.280029,56.42
2015-07-21,2119.209961,55.94
2015-07-22,2114.149902,56.36
2015-07-23,2102.149902,55.76
2015-07-24,2079.649902,54.29
2015-07-25,2079.649902,54.29
2015-07-26,2079.649902,54.29
2015-07-27,2067.639893,54.07
2015-07-28,2093.25,54.3
2015-07-29,2108.570068,54.73
2015-07-30,2108.629883,54.29
2015-07-31,2103.840088,53.29
2015-08-01,2103.840088,53.29
2015-08-02,2103.840088,53.29
2015-08-03,2098.040039,49.49
2015-08-04,2093.320068,49.08
2015-08-05,2099.840088,49.04
2015-08-06,2083.560059,47.8
2015-08-07,2077.570068,47.54
2015-08-08,2077.570068,47.54
2015-08-09,2077.570068,47.54
2015-08-10,2104.179932,48.3
2015-08-11,2084.070068,47.33
2015-08-12,2086.050049,48.29
2015-08-13,2083.389893,48.01
2015-08-14,2091.540039,47.79
2015-08-15,2091.540039,47.79
2015-08-16,2091.540039,47.79
2015-08-17,2102.439941,47.77
2015-08-18,2096.919922,47
2015-08-19,2079.610107,45.75
2015-08-20,2035.72998,45.63
2015-08-21,1970.890015,43.84
2015-08-22,1970.890015,43.84
2015-08-23,1970.890015,43.84
2015-08-24,1893.209961,41.59
2015-08-25,1867.609985,41.86
2015-08-26,1940.51001,41.76
2015-08-27,1987.660034,44.46
2015-08-28,1988.869995,47.97
2015-08-29,1988.869995,47.97
2015-08-30,1988.869995,47.97
2015-08-31,1972.180054,47.97
2015-09-01,1913.849976,48.8
2015-09-02,1948.859985,47.67
2015-09-03,1951.130005,50.41
2015-09-04,1921.219971,48.59
2015-09-05,1921.219971,48.59
2015-09-06,1921.219971,48.59
2015-09-07,1921.219971,46.42
2015-09-08,1969.410034,48.88
2015-09-09,1942.040039,48.04
2015-09-10,1952.290039,47.77
2015-09-11,1961.050049,46.87
2015-09-12,1961.050049,46.87
2015-09-13,1961.050049,46.87
2015-09-14,1953.030029,45.87
2015-09-15,1978.089966,45.91
2015-09-16,1995.310059,49.35
2015-09-17,1990.199951,48.27
2015-09-18,1958.030029,47.28
2015-09-19,1958.030029,47.28
2015-09-20,1958.030029,47.28
2015-09-21,1966.969971,47.64
2015-09-22,1942.73999,46.69
2015-09-23,1938.76001,48
2015-09-24,1932.23999,47.06
2015-09-25,1931.339966,47.28
2015-09-26,1931.339966,47.28
2015-09-27,1931.339966,47.28
2015-09-28,1881.77002,46.04
2015-09-29,1884.089966,47.58
2015-09-30,1920.030029,47.29
2015-10-01,1923.819946,47.48
2015-10-02,1951.359985,46.55
2015-10-03,1951.359985,46.55
2015-10-04,1951.359985,46.55
2015-10-05,1987.050049,49.45
2015-10-06,1979.920044,51.34
2015-10-07,1995.829956,51.66
2015-10-08,2013.430054,52.13
