parameters,aic,sse,pValue
0-0-0-0-0-1,925.1501451,4920.156006,0.661206177
0-0-0-1-0-1,927.1295072,4918.172718,0.665542444
0-0-0-0-0-2,927.1303627,4918.255554,0.665317423
0-0-0-2-0-2,928.6018704,4602.954663,0.69090436
0-0-0-2-0-3,929.0119406,4362.920066,0.679762292
0-0-0-0-0-3,929.0587393,4912.831593,0.674755303
0-0-0-2-0-1,929.1034469,4916.58535,0.66892621
0-0-0-1-0-2,929.1272503,4917.946046,0.666255141
0-0-0-3-0-2,929.4936857,4474.346933,0.724557958
0-0-0-3-0-3,930.2462929,4579.952219,0.713741677
0-0-0-3-0-1,930.8131609,4899.394504,0.651281053
0-0-0-1-0-3,931.041494,4911.665222,0.673401644
0-0-0-2-0-0,934.5375019,5298.431925,0.623132362
0-0-0-3-0-0,934.670365,5203.688747,0.552068703
0-0-0-1-0-0,940.6073619,5661.930942,0.518383984
0-0-0-0-0-0,970.3965855,7208.28,0.595209073
